participant_number,group,cq_1_h,cq_2_s_f,tn_products,n_categories,k_p_1,k_p_2,k_p_3,k_p_4,k_p_5,k_p_6,k_p_7,k_p_8,t_t_condition,t_t_A_1,t_t_A_2,t_t_A_3,t_t_A_4,t_t_A_5,t_t_A_w_p,t_t_B_1,t_t_B_2,t_t_B_3,t_t_B_4,t_t_B_5,t_t_B_w_p,t_t_d,m_q_1,m_q_2,s_s_d,s_t_d,gender,age,f_o_s,n_o_t,n_l,m_k,filter,distance_MC,kimchi_glob1,kimchi_glob2,kimchi_glob3,kimchi_glob4,kimchi_glob5,kimchi_glob6,kimchi_glob7,kimchi_glob8,kimchi_sum,toaster_a_evaluation,toaster_b_evaluation,toaster_diff_WTP,toaster45_rating1,toaster25_rating1,toaster45_rating2,toaster45_rating3,toaster45_rating4,toaster45_rating5,toaster25_rating2,toaster25_rating3,toaster25_rating4,toaster25_rating5,toaster45_mean,toaster25_mean,toaster_45_wtp,toaster_25_wtp,choice_toaster,diff_toaster
36,2,5,5,9,9,1,1,1,1,1,1,1,1,4,3,1,4,4,3,12.99,6,7,7,7,7,16.99,2,7,1,1,1,2,21,1,4,1,2,1,1,1,1,1,1,1,1,1,1,8,3,6.8,-4,3,6,1,4,4,3,7,7,7,7,3,6.8,12.99,16.99,2,-3.8
37,1,1,3,5,8,1,2,1,2,1,2,1,2,3,1,1,1,1,2,10,3,4,4,3,5,40,2,4,3,2,4,2,20,1,4,1,2,1,3,1,0,1,0,1,0,1,0,4,1.2,3.8,-30,1,3,1,1,1,2,4,4,3,5,1.2,3.8,10,40,2,-2.6
38,1,7,5,17,10,1,2,1,1,1,1,1,1,1,4,3,5,6,4,25,6,6,7,7,6,39,2,5,3,3,4,2,24,1,6,2,2,1,3.5,1,0,1,1,1,1,1,1,7,4.4,6.4,14,6,4,6,7,7,6,3,5,6,4,6.4,4.4,39,25,1,2
39,2,1,6,10,6,1,1,1,1,1,1,1,1,2,4,6,5,7,6,15,4,2,6,7,6,10,1,6,1,2,2,1,19,1,2,1,1,1,2,1,1,1,1,1,1,1,1,8,5.6,5,-5,4,4,2,6,7,6,6,5,7,6,5,5.6,10,15,2,-0.6
40,4,1,6,11,7,1,2,1,1,1,1,1,1,2,2,3,3,3,3,15,6,6,6,6,6,19.95,2,6,6,4,4,1,22,1,2,1,2,1,4,1,0,1,1,1,1,1,1,7,2.8,6,4.95,6,2,6,6,6,6,3,3,3,3,6,2.8,19.95,15,1,3.2
41,2,4,5,14,7,1,1,1,1,1,1,2,1,3,6,6,6,5,6,30,3,3,2,3,2,17.5,1,7,2,2,2,2,22,1,6,1,2,1,2,1,1,1,1,1,1,0,1,7,5.8,2.6,12.5,6,3,6,6,5,6,3,2,3,2,5.8,2.6,30,17.5,1,3.2
42,2,2,3,6,7,1,1,1,1,1,1,1,1,3,6,5,4,4,4,20,2,2,5,5,2,15,1,3,2,3,2,2,17,3,0,1,2,1,2.5,1,1,1,1,1,1,1,1,8,4.6,3.2,5,6,2,5,4,4,4,2,5,5,2,4.6,3.2,20,15,1,1.4
43,5,4,6,15,7,1,1,1,1,1,1,1,1,1,3,2,2,2,2,15,6,6,6,6,6,30,2,7,1,2,3,1,22,1,6,1,1,1,2.5,1,1,1,1,1,1,1,1,8,2.2,6,15,6,3,6,6,6,6,2,2,2,2,6,2.2,30,15,1,3.8
44,1,2,4,11,7,1,1,2,1,1,1,2,1,4,6,6,5,4,5,666,3,2,2,2,3,19,1,6,3,2,2,1,21,1,4,1,2,1,2,1,1,0,1,1,1,0,1,6,5.2,2.4,,6,3,6,5,4,5,2,2,2,3,5.2,2.4,,19,1,2.8
45,2,5,7,10,7,1,1,2,1,1,1,1,1,1,5,3,6,7,4,20,6,5,3,3,5,35,2,6,3,1,3,2,21,1,2,1,2,1,2,1,1,0,1,1,1,1,1,7,5,4.4,15,6,5,5,3,3,5,3,6,7,4,4.4,5,35,20,1,-0.6
46,2,3,7,6,6,1,1,1,1,1,1,1,1,2,5,3,3,3,3,20,5,7,5,6,6,40,2,5,4,2,2,2,22,1,7,1,1,1,2,1,1,1,1,1,1,1,1,8,3.4,5.8,20,5,5,7,5,6,6,3,3,3,3,5.8,3.4,40,20,1,2.4
47,3,2,6,6,6,1,1,1,1,1,1,1,1,3,7,7,7,7,6,15,3,3,3,3,3,10,1,6,2,6,1,2,24,1,6,1,1,1,3.5,1,1,1,1,1,1,1,1,8,6.8,3,5,7,3,7,7,7,6,3,3,3,3,6.8,3,15,10,1,3.8
48,3,1,2,11,8,2,2,2,1,1,1,1,1,2,5,5,5,4,5,30,5,5,6,5,4,25,1,6,2,2,4,2,17,3,0,1,1,1,3,0,0,0,1,1,1,1,1,5,4.8,5,-5,5,5,5,6,5,4,5,5,4,5,5,4.8,25,30,2,0.2
49,3,5,7,13,4,1,2,2,1,1,1,1,1,2,6,5,4,6,6,30,2,1,1,2,3,15,1,6,6,1,2,2,22,1,7,1,2,1,1.5,1,0,0,1,1,1,1,1,6,5.4,1.8,-15,2,6,1,1,2,3,5,4,6,6,1.8,5.4,15,30,2,-3.6
50,4,5,6,8,8,1,1,1,1,1,1,1,1,1,3,2,2,2,3,15,6,5,5,5,5,20,2,6,3,2,3,2,34,1,4,1,1,1,2.5,1,1,1,1,1,1,1,1,8,2.4,5.2,5,6,3,5,5,5,5,2,2,2,3,5.2,2.4,20,15,1,2.8
51,1,,,,6,1,1,1,1,1,1,1,1,4,3,5,5,5,6,666,2,3,3,2,3,15,1,5,3,1,1,1,21,1,4,1,2,1,1,1,1,1,1,1,1,1,1,8,4.8,2.6,,3,2,5,5,5,6,3,3,2,3,4.8,2.6,,15,1,2.2
